NavCustomerName,NavCustomerId,Description,BillingCycle,UnitAmount,NavPrice,UnitPrice
"JT Denmark ApS","33362099","Teams Voice","Monthly","3,00","29,00","29,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","6,00","6,00","6,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","1,00","0,00","30,00"
"JT Denmark ApS","33362099","Teams Voice","Monthly","1,00","0,00","29,00"
"Liftra ApS","10110122","Teams Voice","Monthly","24,00","0,00","30,00"
"Liftra ApS","10110122","Teams Voice","Monthly","192,00","0,00","29,00"
"Liftra ApS","10110122","Teams Voice","Monthly","1,00","0,00","399,00"
"Liftra ApS","10110122","Teams Voice","Monthly","161,00","0,00","6,00"
"Liftra ApS","10110122","Teams Voice","Monthly","16,00","0,00","49,00"
"Liftra ApS","10110122","Teams Voice","Monthly","1,00","0,00","95,00"
"Liftra ApS","10110122","Teams Voice","Monthly","1,00","0,00","1063,00"
"Liftra ApS","10110122","Teams Voice","Monthly","1,00","0,00","130,00"
"ATCOM ApS","26097282","Teams Voice","Monthly","17,00","29,00","29,00"
"ATCOM ApS","26097282","Teams Voice","Monthly","1,00","0,00","51,78"
"A/S Bevola","33076428","Svensk nummer fastholdelse","Monthly","1,00","25,00","25,00"
"A/S Bevola","33076428","Svensk nummer fastholdelse","Monthly","1,00","60,00","60,00"
"Ellab A/S","20896949","DID Manager og VoiceQueue 365","Monthly","57,00","6,00","6,00"
"Ellab A/S","20896949","DID Manager og VoiceQueue 365","Monthly","1,00","1500,00","1500,00"
"ECO-LocaXion Management ApS","43676911","Teams Voice","Monthly","2,00","0,00","99,00"
"ECO-LocaXion Management ApS","43676911","Teams Voice","Monthly","3,00","0,00","49,00"
"ECO-LocaXion Management ApS","43676911","Teams Voice","Monthly","30,00","0,00","6,00"
"ECO-LocaXion Management ApS","43676911","Teams Voice","Monthly","1,00","0,00","95,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","2,00","0,00","95,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","340,00","0,00","2,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","4,00","0,00","49,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","12,00","0,00","30,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","4,00","0,00","49,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","2,00","0,00","95,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","2,00","0,00","200,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","2,00","0,00","100,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","1,00","0,00","100,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","1,00","0,00","50,00"
"ECO-LocaXion Management ApS","43676911","dc01 server, bck01 server","Monthly","100,00","0,00","2,00"
"NORD TECH INDUSTRISYSTEMER A/S","18175509","Overvågning og vedligehold af Netværksudstyr","Monthly","1,00","0,00","495,00"
"GAMMELBYS ApS","29687765","Arconis M365 backup","Monthly","30,00","0,00","30,00"
"Eco-Locaxion Holding ApS","39993775","Acronis M365 backup","Monthly","4,00","0,00","30,00"
"FORSYNING HELSINGØR A/S","32059325","Arconis M365 backup","Monthly","231,00","0,00","30,00"
"Eco-Locaxion Holding ApS","39993775","CBG Jensen - Acronis M365 backup","Monthly","4,00","0,00","30,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","3,00","0,00","29,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","8,00","0,00","29,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","1,00","0,00","249,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","26,00","0,00","40,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","18,00","0,00","60,00"
"Enreach A/S","32777465","CM Holding Teams Voice","Monthly","1,00","0,00","398,85"
"Ellab s.a.r.l.","FR67443883723","Teams Tele subscription - France","Monthly","1,00","0,00","99,00"
"Ellab s.a.r.l.","FR67443883723","Teams Tele subscription - France","Monthly","5,00","0,00","19,00"
"Ellab s.a.r.l.","FR67443883723","Teams Tele subscription - France","Monthly","1,00","0,00","40,00"
"Ellab s.a.r.l.","FR67443883723","Teams Tele subscription - France","Monthly","1,00","0,00","35,10"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","14,00","0,00","120,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"Eco-Locaxion Holding ApS","39993775","Domæner og DNS","Annually","1,00","0,00","56,00"
"ECO-LocaXion Management ApS","43676911","Certifikat","Annually","1,00","0,00","1500,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","4,00","0,00","36,75"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","8,00","0,00","71,25"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","140,00","0,00","2,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","500,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","100,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","500,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","500,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","100,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","100,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","50,00"
"Leif Koch A/S","78066415","Hosting og drift","Monthly","1,00","0,00","35,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","9,00","0,00","19,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","1,00","0,00","249,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","41,00","4,00","6,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","2,00","0,00","49,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","1,00","50,00","95,00"
"Moltke-Leth Advokater A/S","18252848","Teams Telefoni","Monthly","1,00","0,00","128,85"
"DM POLERING ApS","34231400","Driftaftale årlig","Annually","1,00","0,00","40,00"
"DM POLERING ApS","34231400","Driftaftale årlig","Annually","2,00","0,00","10,00"
